repository,url,confidence,lineage_or_cluster,current_state,state_observed_at
Cryptense-E/Jackpot,https://github.com/Cryptense-E/Jackpot,A — confirmed chain,Jackpot / :1224 checkStatus,REPO GONE,2026-09-16
ritual-venture/ZetaPlay,https://github.com/ritual-venture/ZetaPlay,A — confirmed chain,gamboracle / MetaPlay branch,REPO GONE,2026-09-16
tars-pro/AI-Market,https://github.com/tars-pro/AI-Market,A — confirmed chain,ipcheck-vm / ip-vm branch,REPO GONE,2026-09-17
TarsAI-net/AgentMesh,https://github.com/TarsAI-net/AgentMesh,A — confirmed chain,AgentMesh / ip-vm → :1224,ACTIVE,2026-09-17
TarsAI-com/AgentMesh,https://github.com/TarsAI-com/AgentMesh,A — confirmed chain,AgentMesh / ip-vm → :1224,ACTIVE,2026-09-17
sergous/DLabs-Platform-MVP2,https://github.com/sergous/DLabs-Platform-MVP2,A — confirmed chain,DLabs / Vercel stagers,INACTIVE — WATCH REPO,2026-09-17
anshul-ind/MetaPlay-V2,https://github.com/anshul-ind/MetaPlay-V2,A — confirmed chain,gamboracle / MetaPlay branch,ACTIVE,2026-09-17
khaleb-dev/jackpot,https://github.com/khaleb-dev/jackpot,A — confirmed chain,Jackpot / ip-check-wh,INACTIVE — WATCH REPO,2026-09-17
rony1235/Jp-Soccer,https://github.com/rony1235/Jp-Soccer,A — confirmed chain,env-exfil / RCE with unresolved AUTH_API,INDETERMINATE — C1 UNRESOLVED,2026-09-20
msmilan69/Result-Task,https://github.com/msmilan69/Result-Task,A — confirmed chain,folderOpen / tasksettingsnew,INACTIVE — WATCH REPO,2026-09-17
MBhatti26/Purrtal,https://github.com/MBhatti26/Purrtal,A — confirmed chain,x-secret-header / locate-my-ip,INACTIVE — WATCH REPO,2026-09-17
eastmade/web3project-momo-token,https://github.com/eastmade/web3project-momo-token,A — confirmed chain,x-secret-header / ip-ap-check,INACTIVE — WATCH REPO,2026-09-17
sky-cook/tokentradingdapp,https://github.com/sky-cook/tokentradingdapp,A — confirmed chain,x-secret-header / ip-api-test,INACTIVE — WATCH REPO,2026-09-17
ricardomartins9899/SmartPay-Demo,https://github.com/ricardomartins9899/SmartPay-Demo,A — confirmed chain,x-secret-header / ip-ap-check,INACTIVE — WATCH REPO,2026-09-18
RealJDEX/BrickFi,https://github.com/RealJDEX/BrickFi,A — confirmed chain,BrickFi / modular 8085-8087 backend,ACTIVE,2026-09-18
Signalra-hub/Signalra-demo,https://github.com/Signalra-hub/Signalra-demo,A — confirmed chain,JSONKeeper dead-drop branch,REPO GONE,2026-09-16
zulqarnain-mughal/technical-assessment436,https://github.com/zulqarnain-mughal/technical-assessment436,A — confirmed chain,gd.tracelic error-body RCE,INACTIVE — WATCH REPO,2026-09-17
ashayk9/technical-assessment436,https://github.com/ashayk9/technical-assessment436,A — confirmed chain,gd.tracelic error-body RCE,INACTIVE — WATCH REPO,2026-09-17
SebastianBoehler/technical-assessment436,https://github.com/SebastianBoehler/technical-assessment436,A — confirmed chain,gd.tracelic error-body RCE,INACTIVE — WATCH REPO,2026-09-17
KhalkarYash/hashgraph-assessment,https://github.com/KhalkarYash/hashgraph-assessment,A — confirmed chain,gd.tracelic error-body RCE,INACTIVE — WATCH REPO,2026-09-17
Ozodbekk1/task-crud,https://github.com/Ozodbekk1/task-crud,A — confirmed chain,gd.tracelic error-body RCE,INACTIVE — WATCH REPO,2026-09-17
chainbits13/realfraction,https://github.com/chainbits13/realfraction,A — confirmed chain,realfraction / configs.live → ipregionchecker / modular 8085-8087,ACTIVE,2026-09-20
AdarshRouniyar79/silknote-mvp-review,https://github.com/AdarshRouniyar79/silknote-mvp-review,A — confirmed chain,serve-cookie error-body RCE,INACTIVE — WATCH REPO,2026-09-17
