repository,url,classification,current_state,taxonomy_path,evidence_ref,notes
Cryptense-E/Jackpot,https://github.com/Cryptense-E/Jackpot,A - confirmed chain,REPO GONE,TRIG-VSCODE-FOLDEROPEN + TRIG-NPM-LIFECYCLE -> C2-1224,evidence/c2/C2-1224.md,initial investigation target; GitHub previously confirmed enforcement
TarsAI-net/AgentMesh,https://github.com/TarsAI-net/AgentMesh,A - confirmed chain,ACTIVE,TRIG-VSCODE-FOLDEROPEN -> LOCAL-SHELL-FETCHER -> MID-REMOTE-CHAIN -> C2-1224,evidence/c2/C2-1224.md,current ip-vm chain
TarsAI-com/AgentMesh,https://github.com/TarsAI-com/AgentMesh,A - confirmed chain,ACTIVE,TRIG-VSCODE-FOLDEROPEN -> LOCAL-SHELL-FETCHER -> MID-REMOTE-CHAIN -> C2-1224,evidence/c2/C2-1224.md,current ip-vm chain
anshul-ind/MetaPlay-V2,https://github.com/anshul-ind/MetaPlay-V2,A - confirmed chain,ACTIVE,TRIG-APP-START-IMPORT -> LOCAL-JS-NETWORK-LOADER -> MID-HTTP-STAGE -> C2-1224,evidence/c2/C2-1224.md,gamboracle branch
RealJDEX/BrickFi,https://github.com/RealJDEX/BrickFi,A - confirmed chain,ACTIVE,TRIG-APP-START-IMPORT -> LOCAL-JS-NETWORK-LOADER -> MID-HTTP-STAGE -> C2-808X,evidence/c2/C2-808X.md,current 144.172.110.154 backend
chainbits13/realfraction,https://github.com/chainbits13/realfraction,A - confirmed chain,ACTIVE,TRIG-VSCODE-PROFILE -> LOCAL-SHELL-FETCHER -> MID-REMOTE-CHAIN -> C2-808X,evidence/c2/C2-808X.md,current configs.live branch; keep historical backend separate
rsaw409/DeFi,https://github.com/rsaw409/DeFi,A - confirmed chain,ACTIVE,TRIG-APP-START-IMPORT -> LOCAL-JS-NETWORK-LOADER -> MID-HTTP-STAGE -> C2-808X,evidence/c2/C2-808X.md,error-body delivery branch
VPRoyal/bloxhq,https://github.com/VPRoyal/bloxhq,A - confirmed chain,ACTIVE,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-ETH-RESOLVER -> C2-NULLRECEIVER,evidence/c2/C2-NULLRECEIVER.md,canonical NullReceiver representative
Sabbirnde/Nava,https://github.com/Sabbirnde/Nava,A - confirmed chain,ACTIVE,TRIG-APP-START-IMPORT -> LOCAL-JS-NETWORK-LOADER -> MID-BLOCKCHAIN-MULTIHOP -> C2-NAVA,evidence/c2/C2-NAVA.md,blockchain multihop branch
SURUJ404/NFT-GAMEFY,https://github.com/SURUJ404/NFT-GAMEFY,A - malicious chain proven,INACTIVE - WATCH,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-DEADDROP-JSON -> C2-UNRESOLVED,evidence/c2/C2-UNRESOLVED.md,3KIH4 exact dead-drop currently lacks model payload
rony1235/Jp-Soccer,https://github.com/rony1235/Jp-Soccer,A - malicious chain proven,INDETERMINATE - C1 UNRESOLVED,TRIG-NPM-LIFECYCLE -> LOCAL-JS-NETWORK-LOADER -> unresolved,evidence/c2/C2-UNRESOLVED.md,AUTH_API absent; sibling C1 is candidate only
upendra512/assessment1_solution,https://github.com/upendra512/assessment1_solution,B - suspicious/incomplete,INACTIVE - WATCH,TRIG-APP-START-IMPORT? -> LOCAL-JS-NETWORK-LOADER -> unresolved,evidence/c2/C2-UNRESOLVED.md,dbHandler not imported from normal src/index.js; no current config
Isaac-1-lang/Real_time_chatting,https://github.com/Isaac-1-lang/Real_time_chatting,reverse-hunt representative,EXTERNAL LEAD,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-ETH-RESOLVER -> C2-NULLRECEIVER,evidence/reverse-hunt/fake-font-lineage.md,BC representative
wpeventmanager/wp-event-manager,https://github.com/wpeventmanager/wp-event-manager,reverse-hunt representative,EXTERNAL LEAD,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-ETH-RESOLVER -> C2-NULLRECEIVER,evidence/reverse-hunt/fake-font-lineage.md,D representative
NEBOLISA/copilot-task,https://github.com/NEBOLISA/copilot-task,reverse-hunt representative,EXTERNAL LEAD,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-ETH-RESOLVER -> C2-NULLRECEIVER,evidence/reverse-hunt/fake-font-lineage.md,NEB representative
lanmower/coder,https://github.com/lanmower/coder,reverse-hunt representative,EXTERNAL LEAD,TRIG-VSCODE-FOLDEROPEN -> LOCAL-FAKE-ASSET-NODE -> MID-ETH-RESOLVER -> C2-NULLRECEIVER,evidence/reverse-hunt/fake-font-lineage.md,VMOBI representative
