repository,commit_sha,path,git_blob_id,evidence_observed_at,pin_verified_at,role,pin_state,notes
Cryptense-E/Jackpot,af699a5f4237a56184f00df015fcb76c5413658e,.vscode/tasks.json,,2026-09-11,,folderOpen trigger,HISTORICAL-COMMIT+PATH,"Repository later disappeared; commit was retained during analysis, blob ID was not preserved."
TarsAI-net/AgentMesh,611f2afede3ffdedfeef8447d77ed21401934adc,.vscode/tasks.json,349003ad34933d5d3e7bf442a6ffe98991e2b06e,2026-09-17,2026-09-21,folderOpen / OS stager trigger,PINNED,Pinned against surviving repository.
TarsAI-com/AgentMesh,611f2afede3ffdedfeef8447d77ed21401934adc,.vscode/tasks.json,349003ad34933d5d3e7bf442a6ffe98991e2b06e,2026-09-17,2026-09-21,folderOpen / OS stager trigger,PINNED,Same pinned task content as TarsAI-net representative.
anshul-ind/MetaPlay-V2,4192d5ada2538157b9f9d9326d855a28f697caf8,socket/index.js,abfce3fdca44d85a8293d85aa0dcee5fdc1fd27c,2026-09-17,2026-09-21,gamboracle response execution,PINNED,"Contains Base64 gamboracle locator and new Function('require', response.data)."
RealJDEX/BrickFi,893aa290e1b40d13e7c2d96b275242c6b6c38992,server/services/dataService.js,0f4d5655fd992b789a973c39660b997e70cbac12,2026-09-18,2026-09-21,Google Docs loader / dynamic execution,PINNED,Repository-side loader anchor; remote stages are separately SHA-256 hashed.
chainbits13/realfraction,,.vscode/settings.json,,2026-09-20,,VS Code terminal-profile trigger,PARTIAL / REPO GONE,"The malicious 2026-09-20 branch was observed and artifact hashes were retained, but its exact Git commit SHA was not preserved before the repository became unavailable on 2026-09-21."
rsaw409/DeFi,3458db9309eeccfdc4f4534a5adeabf24c3c63d7,server/routes/api/profile.js,a0c39bd50055bb9e243920a3f62a7cb3b3d833fc,2026-09-20,2026-09-21,top-level errorTimeHandler execution,PINNED,Top-level call provides the execution edge for the error-body branch.
rsaw409/DeFi,3458db9309eeccfdc4f4534a5adeabf24c3c63d7,server/.env,4f58acb3bfc3c6362b73f875600e713b80e0769e,2026-09-20,2026-09-21,encoded C1/header configuration,PINNED,Configuration anchor for the statically recovered C1 and header/value.
VPRoyal/bloxhq,8f28ae566142e40b609a72b771c92218324f1033,.vscode/tasks.json,4a0955137cfec7c15054f676a9bd0f07888d0f6e,2026-09-20,2026-09-21,folderOpen trigger,PINNED,Task launches the fake font through Node.
VPRoyal/bloxhq,8f28ae566142e40b609a72b771c92218324f1033,frontend/src/components/skeletons/public/fonts/fa-solid-400.woff2,c09f8f470293a37ca0594abdf80f32af239cc286,2026-09-20,2026-09-21,A fake-font loader,PINNED,Git object ID; not SHA-256.
Sabbirnde/Nava,081742b82a89438bb34aea5fbe79971072740ad8,src/utils/errorHandler.js,32b6c050b1dc1aea4f9a096598e43856a36263f5,2026-09-17,2026-09-21,JSONKeeper / blockchain multihop loader,PINNED,Repository-side anchor for the Nava chain.
Isaac-1-lang/Real_time_chatting,7f78364f05c07e9b817268bfcca29aa798d58d95,frontend/src/components/skeletons/public/fonts/fa-solid-400.woff2,346cc3bb3d0d13c9f62639c274d0a8e0643a2f95,2026-09-20,2026-09-21,BC representative fake-font loader,PINNED,Git object ID; not SHA-256.
wpeventmanager/wp-event-manager,d0a071072060bf12e33570d56299a86c65331950,assets/js/jquery-ui/images/public/fonts/fa-solid-400.woff2,8d1d7f68a90141cbc2acd3072ffffbb8ea087669,2026-09-20,2026-09-21,D representative fake-font loader,PINNED,Git object ID; not SHA-256.
NEBOLISA/copilot-task,cd26a863963b063d43a75bd634a95c2e186fc289,src/static/public/fonts/fa-solid-400.woff2,9fa6afd488a7c2880b35d1bdae4fe663f22724d2,2026-09-20,2026-09-21,NEB representative fake-font loader,PINNED,Git object ID; not SHA-256.
lanmower/coder,86982cb917914cc743546d0c87d8d1b9bb34eed2,examples/c/public/fonts/fa-solid-400.woff2,738972ec3ae1699256948b203f5099ad2e223b64,2026-09-20,2026-09-21,VMOBI representative fake-font loader,PINNED,Git object ID; not SHA-256.
SURUJ404/NFT-GAMEFY,decf68981e62c5e6881a3b3a4cc85af613e419ab,public/fontawesome/fa-solid-400.woff2,0d1d6424451ac50db7efa8c7bdd804c9e96848a4,2026-09-20,2026-09-21,distinct SURUJ fake-font loader,PINNED,Distinct JSONKeeper branch; Git object ID is not SHA-256.
VPRoyal/athena,8035683664168daf89438a6c57eff50529c568c1,postcss.config.mjs,36b894564d217b79f9d954f4e872a384232af5cf,2026-09-20,2026-09-21,config-file injection loader,PINNED,Current pinned config file containing the appended malicious loader; Git object ID is not SHA-256.
